id,title,release_date,runtime,production_countries,overview,cast,crew,,,,,,,
1452,Zoom,11/08/2006,83,United States of America,"Jack Shepard is an out-of-shape auto shop owner, far removed from the man who once protected the world's freedom. Reluctantly called back into action by the government, Jack is tasked with turning a rag tag group of kids with special powers into a new generation of superheroes to save the world from certain destruction. Based on Jason Lethcoe's graphic novel ""Zoom's Academy for the Super Gifted"".","Tim Allen,Courteney Cox,Chevy Chase,Spencer Breslin,Kevin Zegers","Director:  Peter Hewitt , Screenwriter:  Adam Rifkin,Screenwriter:  David Berenbaum , Producer:  Jennifer Todd,Producer:  Suzanne Todd,Producer:  Todd Garner",,,,,,,
1453,The Walk,30/09/2015,123,United States of America,The story of French high-wire artist Philippe Petit's attempt to cross the Twin Towers of the World Trade Center in 1974.,"Joseph Gordon-Levitt,Ben Kingsley,Charlotte Le Bon,Ben Schwartz,James Badge Dale","Director:  Robert Zemeckis , Screenwriter:  Robert Zemeckis,Screenwriter:  Christopher Browne , Producer:  Robert Zemeckis,Producer:  Steve Starkey,Producer:  Jack Rapke,Producer:  Tom Rothman",,,,,,,
1454,Warriors of Virtue,02/05/1997,103,"China,United States of America","A young man, Ryan, suffering from a disability, wishes to join the other kids from his schools football team. During an initiation rite, Ryan is swept away through a whirlpool to the land of Tao. There he is hunted by the evil Lord Komodo, who desires the boy as a key to enter the real world. Ryan is rescued by the protectors of Tao, five humanoid kangaroos, each embued with the five elements and virtues. Ryan learns his valuable lesson while saving the land of Tao.","Angus Macfadyen,Mario Yedidia,Marley Shelton,Chao Li Chi","Director:  Ronny Yu , Screenwriter:  Michael Vickerman,Screenwriter:  Hugh Kelley , Producer:  ",,,,,,,
1455,A Good Year,09/09/2006,118,United States of America,"Failed London banker Max Skinner inherits his uncle's vineyard in Provence, where he spent many childhood holidays. Upon his arrival, he meets a woman from California who tells Max she is his long-lost cousin and that the property is hers.","Russell Crowe,Marion Cotillard,Albert Finney,Tom Hollander,Abbie Cornish","Director:  Ridley Scott , Screenwriter:   , Producer:  Ridley Scott",,,,,,,
1456,Radio Flyer,21/02/1992,114,United States of America,"A father reminisces about his childhood when he and his younger brother moved to a new town with their mother, her new husband and their dog, Shane. When the younger brother is subjected to physical abuse at the hands of their brutal stepfather, Mike decides to convert their toy trolley, the ""Radio Flyer"", into a plane to fly him to safety.","Elijah Wood,Lorraine Bracco,Adam Baldwin,John Heard,Joseph Mazzello","Director:  Richard Donner , Screenwriter:   , Producer:  Lauren Shuler Donner",,,,,,,
1457,Bound by Honor,05/02/1993,180,United States of America,"Based on the true life experiences of poet Jimmy Santiago Baca, the film focuses on half-brothers Paco and Cruz, and their bi-racial cousin Miklo. It opens in 1972, as the three are members of an East L.A. gang known as the ""Vatos Locos"", and the story focuses on how a violent crime and the influence of narcotics alter their lives. Miklo is incarcerated and sent to San Quentin, where he makes a ""home"" for himself. Cruz becomes an exceptional artist, but a heroin addiction overcomes him with tragic results. Paco becomes a cop and an enemy to his ""carnal"", Miklo.","Damian Chapa,Jesse Borrego,Benjamin Bratt,Enrique Castillo,Victor Rivers","Director:  Taylor Hackford , Screenwriter:  Jeremy Iacone,Screenwriter:  Jimmy Santiago Baca,Screenwriter:  Floyd Mutrux , Producer:  Taylor Hackford,Producer:  Jerry Gershwin",,,,,,,
1458,Smilla's Sense of Snow,13/02/1997,121,"Germany,Denmark,Sweden","Smilla Jaspersen, half Danish, half Greenlander, attempts to understand the death of a small boy who falls from the roof of her apartment building. Suspecting wrongdoing, Smilla uncovers a trail of clues leading towards a secretive corporation that has made several mysterious expeditions to Greenland. Scenes from the film were shot in Copenhagen and western Greenland. The film was entered into the 47th Berlin International Film Festival, where director Bille August was nominated for the Golden Bear.","Julia Ormond,Gabriel Byrne,Richard Harris,Jim Broadbent,Tom Wilkinson","Director:  Bille August , Screenwriter:  Ann Biderman , Producer:  Bernd Eichinger,Producer:  Martin Moszkowicz,Producer:  Rosanne Korenberg",,,,,,,
1459,Femme Fatale,06/11/2002,114,"Switzerland,France","A woman tries to straighten out her life, even as her past as a con-woman comes back to haunt her.","Rebecca Romijn,Antonio Banderas,Peter Coyote,Rie Rasmussen,Gregg Henry","Director:  Brian De Palma , Screenwriter:   , Producer:  Marina Gefter,Producer:  Tarak Ben Ammar",,,,,,,
1460,Lion of the Desert,17/04/1981,173,"Libyan Arab Jamahiriya,United States of America","This movie tells the story of Omar Mukhtar, an Arab Muslim rebel who fought against the Italian conquest of Libya in WWII. It gives western viewers a glimpse into this little-known region and chapter of history, and exposes the savage means by which the conquering army attempted to subdue the natives.","Anthony Quinn,Rod Steiger,Oliver Reed,Irene Papas,Raf Vallone","Director:  Moustapha Akkad , Screenwriter:   , Producer:  ",,,,,,,
1461,The Horseman on the Roof,20/09/1995,135,France,"In a time of war and disease, a young officer gallantly tries to help a young woman find her husband.","Juliette Binoche,Olivier Martinez,Pierre Arditi,Fran\u00e7ois Cluzet,G\u00e9rard Depardieu","Director:  Jean-Paul Rappeneau , Screenwriter:  Jean-Claude Carri\u00e8re,Screenwriter:  Jean-Paul Rappeneau,Screenwriter:  Nina Compan\u00e9ez,Screenwriter:  Jean Giono , Producer:  ",,,,,,,
1462,Ride with the Devil,24/11/1999,138,United States of America,"Ride with the Devil follows four people who are fighting for truth and justice amidst the turmoil of the American Civil War. Director Ang Lee takes us to a no man's land on the Missouri/Kansas border where a staunch loyalist, an immigrant's son, a freed slave, and a young widow form an unlikely friendship as they learn how to survive in an uncertain time. In a place without rules and redefine the meaning of bravery and honor.","Tobey Maguire,Skeet Ulrich,Jeffrey Wright,Jewel,Jonathan Rhys Meyers","Director:  Ang Lee , Screenwriter:  James Schamus , Producer:  James Schamus,Producer:  Robert F. Colesberry,Producer:  Ted Hope",,,,,,,
1463,Biutiful,20/10/2010,148,"Mexico,Spain","This is a story of a man in free fall. On the road to redemption, darkness lights his way. Connected with the afterlife, Uxbal is a tragic hero and father of two who's sensing the danger of death. He struggles with a tainted reality and a fate that works against him in order to forgive, for love, and forever.","Javier Bardem,Maricel \u00c1lvarez,Hanaa Bouchaib,Guillermo Estrella,Eduard Fern\u00e1ndez","Director:  Alejandro Gonz\u00e1lez I\u00f1\u00e1rritu , Screenwriter:  Alejandro Gonz\u00e1lez I\u00f1\u00e1rritu,Screenwriter:  Armando Bo,Screenwriter:  Nicol\u00e1s Giacobone , Producer:  Alejandro Gonz\u00e1lez I\u00f1\u00e1rritu,Producer:  Jon Kilik,Producer:  Ann Ruark,Producer:  Alfonso Cuar\u00f3n,Producer:  Fernando Bovaira,Producer:  Guillermo del Toro,Producer:  Sandra Hermida",,,,,,,
1464,Bandidas,18/01/2006,93,"United States of America,France,Mexico","Set in the late 19th century. When a ruthless robber baron takes away everything they cherish, a rough-and-tumble, idealistic peasant and a sophisticated heiress embark on a quest for justice, vengeance…and a few good heists.","Pen\u00e9lope Cruz,Salma Hayek,Dwight Yoakam,Steve Zahn,Denis Arndt","Director:  Joachim R\u00f8nning,Director:  Espen Sandberg , Screenwriter:   , Producer:  Luc Besson,Producer:  Ariel Zeitoun,Producer:  Mehdi Sayah",,,,,,,
1465,Black Water Transit,13/05/2009,100,United States of America,"In this action thriller set in post-Katrina New Orleans, business owner Jack Vermillion (Laurence Fishburne) is struggling to run a legitimate shipping company while bad guy Ernest Pike (Karl Urban) is struggling to get his family's illegal gun collection out of the country. When their paths collide, Jack realizes that exposing Pike might get him just the sway he needs to persuade law enforcement officials to treat his imprisoned son kindly.","Laurence Fishburne,Karl Urban,Brittany Snow,Aisha Tyler,Beverly D'Angelo","Director:  Tony Kaye , Screenwriter:   , Producer:  Arnold Rifkin,Producer:  Kia Jam,Producer:  Paul Parmar,Producer:  Christopher Eberts",,,,,,,
1466,The Maze Runner,10/09/2014,113,United States of America,"Set in a post-apocalyptic world, young Thomas is deposited in a community of boys after his memory is erased, soon learning they're all trapped in a maze that will require him to join forces with fellow ""runners"" for a shot at escape.","Dylan O'Brien,Ki Hong Lee,Kaya Scodelario,Aml Ameen,Blake Cooper","Director:  Wes Ball , Screenwriter:  Noah Oppenheim,Screenwriter:  Grant Pierce Myers,Screenwriter:  T.S. Nowlin , Producer:  Wyck Godfrey,Producer:  Marty Bowen,Producer:  Lindsay Williams,Producer:  Ellen Goldsmith-Vein,Producer:  Lee Stollman",,,,,,,
1467,Unfinished Business,05/03/2015,91,United States of America,"A hard-working small business owner and his two associates travel to Europe to close the most important deal of their lives.  But what began as a routine business trip goes off the rails in every imaginable – and unimaginable – way, including unplanned stops at a massive sex fetish event and a global economic summit.","Vince Vaughn,Dave Franco,James Marsden,June Diane Raphael,Sienna Miller","Director:  Ken Scott , Screenwriter:   , Producer:  Todd Black",,,,,,,
1468,The Age of Innocence,17/09/1993,139,United States of America,"Tale of 19th century New York high society in which a young lawyer falls in love with a woman separated from her husband, while he is engaged to the woman's cousin.","Daniel Day-Lewis,Michelle Pfeiffer,Winona Ryder,Alexis Smith,Geraldine Chaplin","Director:  Martin Scorsese , Screenwriter:  Martin Scorsese,Screenwriter:  Jay Cocks , Producer:  Barbara De Fina",,,,,,,
1469,The Fountain,06/09/2006,96,United States of America,"Spanning over one thousand years, and three parallel stories, The Fountain is a story of love, death, spirituality, and the fragility of our existence in this world.","Hugh Jackman,Rachel Weisz,Ellen Burstyn,Mark Margolis,Stephen McHattie","Director:  Darren Aronofsky , Screenwriter:  Darren Aronofsky , Producer:  Iain Smith,Producer:  Arnon Milchan",,,,,,,
1470,Chill Factor,01/09/1999,101,United States of America,A store clerk and an ice cream truck driver are thrown together when a dying scientist entrusts them with a deadly chemical kept in ice. This chemical will kill every living thing once it melts. They have to take the chemical codenamed 'Elvis' to the next nearest military base while being chased by terrorists who want it to hold the country for ransom.,"Cuba Gooding Jr.,Skeet Ulrich,Peter Firth,David Paymer,Daniel Hugh Kelly","Director:  Hugh Johnson , Screenwriter:  Drew Gitlin,Screenwriter:  Mike Cheda , Producer:  James G. Robinson",,,,,,,
1471,Stolen,17/05/2012,96,United States of America,"A former thief frantically searches for his missing daughter, who has been kidnapped and locked in the trunk of a taxi.","Nicolas Cage,Malin \u00c5kerman,Josh Lucas,Sami Gayle,Danny Huston","Director:  Simon West , Screenwriter:   , Producer:  Ren\u00e9 Besson,Producer:  Matthew Joynes,Producer:  Jesse Kennedy",,,,,,,
1472,Ponyo,19/07/2008,100,Japan,"The son of a sailor, 5-year old Sosuke lives a quiet life on an oceanside cliff with his mother Lisa. One fateful day, he finds a beautiful goldfish trapped in a bottle on the beach and upon rescuing her, names her Ponyo. But she is no ordinary goldfish. The daughter of a masterful wizard and a sea goddess, Ponyo uses her father's magic to transform herself into a young girl and quickly falls in love with Sosuke, but the use of such powerful sorcery causes a dangerous imbalance in the world. As the moon steadily draws nearer to the earth and Ponyo's father sends the ocean's mighty waves to find his daughter, the two children embark on an adventure of a lifetime to save the world and fulfill Ponyo's dreams of becoming human.","Yuria Nara,Hiroki Doi,George Tokoro,Tomoko Yamaguchi,Yuki Amami","Director:  Hayao Miyazaki , Screenwriter:   , Producer:  Toshio Suzuki",,,,,,,
1473,The Longest Ride,09/04/2015,128,United States of America,The lives of a young couple intertwine with a much older man as he reflects back on a lost love while he's trapped in an automobile crash.,"Scott Eastwood,Britt Robertson,Lolita Davidovich,Melissa Benoist,Jack Huston","Director:  George Tillman, Jr. , Screenwriter:  Craig Bolotin , Producer:  Wyck Godfrey,Producer:  Marty Bowen,Producer:  Nicholas Sparks,Producer:  Theresa Park",,,,,,,
1474,The Astronaut's Wife,26/08/1999,109,United States of America,"When astronaut Spencer Armacost returns to Earth after a mission that nearly cost him his life, he decides to take a desk job in order to see his beautiful wife, Jillian, more often. Gradually, Jillian notices that Spencer's personality seems to have changed, but her concerns fade when she discovers that she's pregnant. As Jillian grows closer to becoming a mother, her suspicions about Spencer return. Why does it seem as if he's a different person?","Johnny Depp,Charlize Theron,Joe Morton,Clea DuVall,Nick Cassavetes","Director:  Rand Ravich , Screenwriter:  Rand Ravich , Producer:  Andrew Lazar",,,,,,,
1475,I Dreamed of Africa,05/05/2000,114,United States of America,"Inspired by the true story of indomitable Kuki Gallmann, the film tells of a beautiful and inquisitive woman who had the courage to escape from her comfortable yet monotonous life in Italy to start anew in the African wilderness with her son, Emanuele, and her new husband, Paolo. Gallmann faces great danger there but eventually becomes a celebrated conservationist.","Kim Basinger,Vincent P\u00e9rez,Liam Aiken,Daniel Craig,Eva Marie Saint","Director:  Hugh Hudson , Screenwriter:  Susan Shilliday,Screenwriter:  Paula Milne , Producer:  ",,,,,,,
1476,Playing for Keeps,29/11/2012,106,United States of America,A former sports star who's fallen on hard times starts coaching his son's soccer team in an attempt to get his life together.,"Gerard Butler,Jessica Biel,Uma Thurman,Catherine Zeta-Jones,Iqbal Theba","Director:  Gabriele Muccino , Screenwriter:   , Producer:  Jonathan Mostow,Producer:  Gerard Butler,Producer:  John Thompson,Producer:  Kevin Misher,Producer:  Heidi Jo Markel,Producer:  Alan Siegel",,,,,,,
1477,Mandela: Long Walk to Freedom,06/12/2013,141,"United Kingdom,South Africa",A chronicle of Nelson Mandela's life journey from his childhood in a rural village through to his inauguration as the first democratically elected president of South Africa.,"Idris Elba,Naomie Harris,Tony Kgoroge,Riaad Moosa,Fana Mokoena","Director:  Justin Chadwick , Screenwriter:  William Nicholson , Producer:  David M. Thompson,Producer:  Anant Singh",,,,,,,
1478,Reds,25/12/1981,195,United States of America,A radical American journalist becomes involved with the Communist revolution in Russia and hopes to bring its spirit and idealism to the United States.,"Warren Beatty,Diane Keaton,Edward Herrmann,Jack Nicholson,Jerzy Kosinski","Director:  Warren Beatty , Screenwriter:   , Producer:  Warren Beatty",,,,,,,
1479,A Few Good Men,11/12/1992,138,United States of America,"When cocky military lawyer Lt. Daniel Kaffee and his co-counsel, Lt. Cmdr. JoAnne Galloway, are assigned to a murder case, they uncover a hazing ritual that could implicate high-ranking officials such as shady Col. Nathan Jessep.","Tom Cruise,Jack Nicholson,Demi Moore,Kevin Bacon,Kevin Pollak","Director:  Rob Reiner , Screenwriter:  Aaron Sorkin , Producer:  Rob Reiner,Producer:  Andrew Scheinman,Producer:  David Brown",,,,,,,
1480,Exit Wounds,13/03/2001,101,"Canada,United States of America","Maverick cop Orin Boyd always brings down the domestic terrorists he tracks, but he ruffles feathers with his unorthodox techniques -- and soon finds himself reassigned to the toughest district in Detroit. When he discovers a group of detectives secretly operating a drug ring, Boyd joins forces with an unlikely ally -- gangster Latrell Walker -- to bring down the rotten cops.","Steven Seagal,DMX,Isaiah Washington,Anthony Anderson,Bill Duke","Director:  Andrzej Bartkowiak , Screenwriter:  Richard D'Ovidio,Screenwriter:  Ed Horowitz , Producer:  Joel Silver,Producer:  Dan Cracchiolo",,,,,,,
1481,Big Momma's House,31/05/2000,98,"Germany,United States of America","When a street-smart FBI agent is sent to Georgia to protect a beautiful single mother and her son from an escaped convict, he is forced to impersonate a crass Southern granny known as Big Momma in order to remain incognito.","Martin Lawrence,Nia Long,Paul Giamatti,Jascha Washington,Terrence Howard","Director:  Raja Gosnell , Screenwriter:  Don Rhymer,Screenwriter:  Darryl Quarles , Producer:  David T. Friendly,Producer:  Michael Green",,,,,,,
1482,Thunder and the House of Magic,24/12/2013,85,"Belgium,United States of America","Thunder, an abandoned young cat seeking shelter from a storm, stumbles into the strangest house imaginable, owned by an old magician and inhabited by a dazzling array of automatons and gizmos. Not everyone welcomes the new addition to the troupe as Jack Rabbit and Maggie Mouse plot to evict Thunder. The situation gets worse when the magician lands in hospital and his scheming nephew sees his chance to cash in by selling the mansion. Our young hero is determined to earn his place and so he enlists the help of some wacky magician's assistants to protect his magical new home.","Brianne Siddall,Joey Camen,Elisa Gabrielli,Robin Atkin Downes,Shanelle Workman","Director:  Ben Stassen,Director:  Jeremy Degruson , Screenwriter:  Ben Stassen,Screenwriter:  Dominic Paris,Screenwriter:  James Flynn , Producer:  Nadia Khamlichi,Producer:  Ben Stassen",,,,,,,
1483,The Darkest Hour,22/12/2011,89,"United States of America,Russia","In Moscow, five young people lead the charge against an alien race which has attacked Earth via our power supply.","Emile Hirsch,Rachael Taylor,Olivia Thirlby,Joel Kinnaman,Max Minghella","Director:  Chris Gorak , Screenwriter:  M.T. Ahern , Producer:  Timur Bekmambetov,Producer:  Tom Jacobson",,,,,,,
1484,Step Up Revolution,26/07/2012,99,United States of America,"Emily arrives in Miami with aspirations to become a professional dancer. She sparks with Sean, the leader of a dance crew whose neighborhood is threatened by Emily's father's development plans.","Kathryn McCormick,Ryan Guzman,Stephen Boss,Megan Boone,Jessica Guadix","Director:  Scott Speer , Screenwriter:  Amanda Brody , Producer:  Patrick Wachsberger,Producer:  Erik Feig,Producer:  Adam Shankman,Producer:  Jennifer Gibgot",,,,,,,
1485,Snakes on a Plane,06/08/2006,105,United States of America,"America is on the search for the murderer Eddie Kim. Sean Jones must fly to L.A. to testify in a hearing against Kim. Accompanied by FBI agent Neville Flynn, the flight receives some unexpected visitors.","Samuel L. Jackson,Julianna Margulies,Kenan Thompson,Nathan Phillips,Rachel Blanchard","Director:  David R. Ellis , Screenwriter:  Sebastian Gutierrez,Screenwriter:  John Heffernan , Producer:  ",,,,,,,
1486,The Watcher,08/09/2000,96,United States of America,"FBI agent Joel Campbell, burnt-out and shell-shocked after years spent chasing serial killers, flees L.A. to begin a new life for himself in Chicago. But five months later, Joel's best laid plans are abruptly cut short when his new hometown becomes the setting for some particularly gruesome murders--murders that could only have been committed by one man: David Allen Griffin. One of Joel's most elusive and cunning nemeses, Griffin has followed his former pursuer to Chicago in order to play a sadistic game of cat and mouse. Taunting Joel with photographs of his intended victims and leaving his crime scenes meticulously free of clues in order to keep the police at bay, Griffin derives as much pleasure out of watching Joel react to every movement as watching his victims die. But when Griffin moves into Joel's inner circle, Joel must quickly find some way to stop him before someone close to him becomes the next one to die.","James Spader,Keanu Reeves,Marisa Tomei,Ernie Hudson,Chris Ellis","Director:  Joe Charbanic , Screenwriter:  David Elliot , Producer:  Christopher Eberts",,,,,,,
1487,The Punisher,15/04/2004,124,"Germany,United States of America","When undercover FBI agent Frank Castle's wife and son are slaughtered, he becomes 'the Punisher' -- a ruthless vigilante willing to go to any length to avenge his family.","Thomas Jane,John Travolta,Will Patton,Roy Scheider,Laura Harring","Director:  Jonathan Hensleigh , Screenwriter:   , Producer:  Gale Anne Hurd,Producer:  Avi Arad",,,,,,,
1488,Goal!: The Dream Begins,06/06/2005,118,"United Kingdom,United States of America","Like millions of kids around the world, Santiago harbors the dream of being a professional footballer...However, living in the Barrios section of Los Angeles, he thinks it is only that--a dream. Until one day an extraordinary turn of events has him trying out for Premiership club Newcastle United.","Kuno Becker,Alessandro Nivola,Anna Friel,Stephen Dillane,Gary Lewis","Director:  Danny Cannon , Screenwriter:  Dick Clement,Screenwriter:  Ian La Frenais,Screenwriter:  Mike Jefferies,Screenwriter:  Adrian Butchart , Producer:  Mark Huffam,Producer:  Mike Jefferies,Producer:  Matt Barrelle",,,,,,,
1489,Safe,16/04/2012,94,United States of America,"After a former elite agent rescues a 12-year-old Chinese girl who's been abducted, they find themselves in the middle of a standoff between Triads, the Russian Mafia and high-level corrupt New York City politicians and police.","Jason Statham,Chris Sarandon,James Hong,Catherine Chan,Robert John Burke","Director:  Boaz Yakin , Screenwriter:   , Producer:  Lawrence Bender,Producer:  Dana Brunetti,Producer:  Joseph Zolfo,Producer:  John R. Woodward",,,,,,,
1490,Pushing Tin,23/04/1999,124,"Germany,United States of America","Two air traffic controllers (John Cusack, Billy Bob Thornton) who thrive on living dangerously compete to outdo each other on several levels.","John Cusack,Billy Bob Thornton,Cate Blanchett,Angelina Jolie,Gene Dinovi","Director:  Mike Newell , Screenwriter:  Glen Charles,Screenwriter:  Les Charles , Producer:  Art Linson",,,,,,,
1491,Return of the Jedi,23/05/1983,135,United States of America,"As Rebel leaders map their strategy for an all-out attack on the Emperor's newer, bigger Death Star. Han Solo remains frozen in the cavernous desert fortress of Jabba the Hutt, the most loathsome outlaw in the universe, who is also keeping Princess Leia as a slave girl. Now a master of the Force, Luke Skywalker rescues his friends, but he cannot become a true Jedi Knight until he wages his own crucial battle against Darth Vader, who has sworn to win Luke over to the dark side of the Force.","Mark Hamill,Harrison Ford,Carrie Fisher,Billy Dee Williams,Anthony Daniels","Director:  Richard Marquand , Screenwriter:  George Lucas,Screenwriter:  Lawrence Kasdan , Producer:  Howard G. Kazanjian",,,,,,,
1492,Doomsday,14/03/2008,108,"Germany,United Kingdom,United States of America,South Africa","A lethal virus spreads throughout the British isles,infecting millions and killing hundreds of thousands. To contain the threat, acting authorities brutally quarantine the country as it succumbs to fear and chaos. The quarantine is successful. Three decades later, the Reaper virus violently resurfaces in a major city. An elite group of specialists is urgently dispatched into the still-quarantined country to retrieve a cure by any means necessary. Shut off from the rest of the world, the unit must battle through a landscape that has become a waking nightmare.","Rhona Mitra,Bob Hoskins,Malcolm McDowell,Alexander Siddig,David O'Hara","Director:  Neil Marshall , Screenwriter:   , Producer:  Steven Paul,Producer:  Benedict Carver",,,,,,,
1493,The Reader,10/12/2008,124,"Germany,United States of America","The story of Michael Berg, a German lawyer who, as a teenager in the late 1950s, had an affair with an older woman, Hanna, who then disappeared only to resurface years later as one of the defendants in a war crimes trial stemming from her actions as a concentration camp guard late in the war. He alone realizes that Hanna is illiterate and may be concealing that fact at the expense of her freedom.","Kate Winslet,Ralph Fiennes,David Kross,Jeanette Hain,Bruno Ganz","Director:  Stephen Daldry , Screenwriter:  David Hare , Producer:  Sydney Pollack,Producer:  Anthony Minghella,Producer:  Redmond Morris,Producer:  Donna Gigliotti",,,,,,,
1494,Wanderlust,23/02/2012,98,United States of America,"Rattled by sudden unemployment, a Manhattan couple surveys alternative living options, ultimately deciding to experiment with living on a rural commune where free love rules.","Paul Rudd,Jennifer Aniston,Justin Theroux,Malin \u00c5kerman,Lauren Ambrose","Director:  David Wain , Screenwriter:   , Producer:  David Wain,Producer:  Judd Apatow",,,,,,,
1495,Elf,09/10/2003,97,"United States of America,Germany","When young Buddy falls into Santa's gift sack on Christmas Eve, he's transported back to the North Pole and raised as a toy-making elf by Santa's helpers. But as he grows into adulthood, he can't shake the nagging feeling that he doesn't belong. Buddy vows to visit Manhattan and find his real dad, a workaholic publisher.","Will Ferrell,James Caan,Zooey Deschanel,Mary Steenburgen,Daniel Tay","Director:  Jon Favreau , Screenwriter:  David Berenbaum , Producer:  Shauna Robertson,Producer:  Todd Komarnicki,Producer:  Jon Berg",,,,,,,
1496,Phenomenon,05/07/1996,123,United States of America,"An ordinary man sees a bright light descend from the sky, and discovers he now has super-intelligence and telekinesis.","John Travolta,Kyra Sedgwick,Forest Whitaker,Robert Duvall,Jeffrey DeMunn","Director:  Jon Turteltaub , Screenwriter:  Gerald Di Pego , Producer:  Michael Taylor,Producer:  Barbara Boyle",,,,,,,
1497,Snow Dogs,18/01/2002,99,"Canada,United States of America","When a Miami dentist inherits a team of sled dogs, he's got to learn the trade or lose his pack to a crusty mountain man.","Jim Belushi,Cuba Gooding Jr.,James Coburn,M. Emmet Walsh,Sisq\u00f3","Director:  Brian Levant , Screenwriter:  Michael Goldberg,Screenwriter:  Mark Gibson , Producer:  Mel Gibson,Producer:  Casey Grant",,,,,,,
1498,Scrooged,22/11/1988,101,United States of America,"In this modern take on Charles Dickens' ""A Christmas Carol,"" Frank Cross (Bill Murray) is a wildly successful television executive whose cold ambition and curmudgeonly nature has driven away the love of his life, Claire Phillips (Karen Allen). But after firing a staff member, Eliot Loudermilk (Bobcat Goldthwait), on Christmas Eve, Frank is visited by a series of ghosts who give him a chance to re-evaluate his actions and right the wrongs of his past.","Bill Murray,Karen Allen,John Forsythe,Bobcat Goldthwait,Carol Kane","Director:  Richard Donner , Screenwriter:  Michael O'Donoghue,Screenwriter:  Mitch Glazer , Producer:  Art Linson,Producer:  Richard Donner",,,,,,,
1499,Nacho Libre,16/06/2006,92,United States of America,"Nacho Libre is loosely based on the story of Fray Tormenta (""Friar Storm""), aka Rev. Sergio Gutierrez Benitez, a real-life Mexican Catholic priest who had a 23-year career as a masked luchador. He competed in order to support the orphanage he directed. The producers are Jack Black, David Klawans, Julia Pistor, and Mike White.","Jack Black,Ana de la Reguera,H\u00e9ctor Jim\u00e9nez,Darius Rose,Mois\u00e9s Arias","Director:  Jared Hess , Screenwriter:  Jared Hess,Screenwriter:  Jerusha Hess , Producer:  Jack Black,Producer:  Mike White",,,,,,,
1500,Bridesmaids,28/04/2011,125,United States of America,"Annie’s life is a mess. But when she finds out her lifetime best friend is engaged, she simply must serve as Lillian’s maid of honor. Though lovelorn and broke, Annie bluffs her way through the expensive and bizarre rituals. With one chance to get it perfect, she’ll show Lillian and her bridesmaids just how far you’ll go for someone you love.","Kristen Wiig,Rose Byrne,Maya Rudolph,Wendi McLendon-Covey,Ellie Kemper","Director:  Paul Feig , Screenwriter:  Kristen Wiig,Screenwriter:  Annie Mumolo , Producer:  Clayton Townsend,Producer:  Barry Mendel,Producer:  Judd Apatow",,,,,,,
1501,This Is the End,12/06/2013,107,United States of America,"While attending a party at James Franco's house, Seth Rogen, Jay Baruchel and many other celebrities are faced with the apocalypse.","James Franco,Jonah Hill,Seth Rogen,Jay Baruchel,Danny McBride","Director:  Seth Rogen,Director:  Evan Goldberg , Screenwriter:  Seth Rogen,Screenwriter:  Evan Goldberg , Producer:  Seth Rogen,Producer:  Evan Goldberg,Producer:  James Weaver",,,,,,,
1502,Stigmata,10/09/1999,103,United States of America,"A young woman with no strong religious beliefs, Frankie Paige begins having strange and violent experiences, showing signs of the wounds that Jesus received when crucified. When the Vatican gets word of Frankie's situation, a high-ranking cardinal requests that the Rev. Andrew Kiernan investigate her case. Soon Kiernan realizes that very sinister forces are at work, and tries to rescue Frankie from the entity that is plaguing her.","Patricia Arquette,Gabriel Byrne,Jonathan Pryce,Nia Long,Thomas Kopache","Director:  Rupert Wainwright , Screenwriter:  Tom Lazarus,Screenwriter:  Rick Ramage , Producer:  Frank Mancuso Jr.",,,,,,,
1503,Men of Honor,13/09/2000,129,United States of America,"Against formidable odds -- and an old-school diving instructor embittered by the U.S. Navy's new, less prejudicial policies -- Carl Brashear sets his sights on becoming the Navy's first African-American master diver in this uplifting true story. Their relationship starts out on the rocks, but fate ultimately conspires to bring the men together into a setting of mutual respect, triumph and honor.","Robert De Niro,Cuba Gooding Jr.,Charlize Theron,Aunjanue Ellis,Hal Holbrook","Director:  George Tillman, Jr. , Screenwriter:  Scott Marshall Smith , Producer:  Bill Badalato,Producer:  Robert Teitel",,,,,,,
1504,Takers,26/08/2010,107,United States of America,"A seasoned team of bank robbers, including Gordon Jennings (Idris Elba), John Rahway (Paul Walker), A.J. (Hayden Christensen), and brothers Jake (Michael Ealy) and Jesse Attica (Chris Brown) successfully complete their latest heist and lead a life of luxury while planning their next job. When Ghost (Tip T.I. Harris), a former member of their team, is released from prison he convinces the group to strike an armored car carrying $20 million. As the ""Takers"" carefully plot out their strategy and draw nearer to exacting the grand heist, a reckless police officer (Matt Dillon) inches closer to apprehending the criminals.","Chris Brown,Hayden Christensen,Matt Dillon,Michael Ealy,Idris Elba","Director:  John Luessenhop , Screenwriter:   , Producer:  ",,,,,,,
1505,The Big Wedding,25/04/2013,90,United States of America,"To the amusement of their adult children and friends, long divorced couple Don and Ellie Griffin are once again forced to play the happy couple for the sake of their adopted son's wedding after his ultra conservative biological mother unexpectedly decides to fly halfway across the world to attend. With all of the wedding guests looking on, the Griffins are hilariously forced to confront their past, present and future - and hopefully avoid killing each other in the process.","Robert De Niro,Diane Keaton,Katherine Heigl,Amanda Seyfried,Topher Grace","Director:  Justin Zackham , Screenwriter:   , Producer:  Justin Zackham,Producer:  Harry J. Ufland,Producer:  Richard Salvatore,Producer:  Clay Pecorin",,,,,,,
